run_id,series,label,M,alpha,Q_W_mean,Q_X_mean,Q_Y_mean,FIT_Y_mean,NMSE_Y_mean
20260430_044004_m_sweep_2k_grid_c_bgs_N2000_M50_rank5-a24_S1_steps60000_dfa230,M120,M=120,120,0.3,0.006076037883758545,0.006124787963926792,0.04934720695018768,0.09183889627456665,0.9081611037254333
20260430_044004_m_sweep_2k_grid_c_bgs_N2000_M50_rank5-a24_S1_steps60000_dfa230,M120,M=120,120,0.6,0.016759255900979042,0.01663803681731224,0.1853419691324234,0.2869340181350708,0.7130659818649292
20260430_044004_m_sweep_2k_grid_c_bgs_N2000_M50_rank5-a24_S1_steps60000_dfa230,M120,M=120,120,0.75,0.034592851996421814,0.03496837615966797,0.22650060057640076,0.3252650499343872,0.6747349500656128
20260430_044004_m_sweep_2k_grid_c_bgs_N2000_M50_rank5-a24_S1_steps60000_dfa230,M120,M=120,120,0.85,0.05373266711831093,0.05366160720586777,0.25109243392944336,0.3432897925376892,0.6567102074623108
20260430_044004_m_sweep_2k_grid_c_bgs_N2000_M50_rank5-a24_S1_steps60000_dfa230,M120,M=120,120,0.9,0.0667552724480629,0.06727759540081024,0.263129860162735,0.35164886713027954,0.6483511328697205
20260430_044004_m_sweep_2k_grid_c_bgs_N2000_M50_rank5-a24_S1_steps60000_dfa230,M120,M=120,120,0.95,0.07938252389431,0.08009428530931473,0.2743109464645386,0.35774868726730347,0.6422513127326965
20260430_044004_m_sweep_2k_grid_c_bgs_N2000_M50_rank5-a24_S1_steps60000_dfa230,M120,M=120,120,1.0,0.10622977465391159,0.10573660582304001,0.2868504524230957,0.3663610816001892,0.6336389183998108
20260430_044004_m_sweep_2k_grid_c_bgs_N2000_M50_rank5-a24_S1_steps60000_dfa230,M120,M=120,120,1.05,0.1326722949743271,0.1316065639257431,0.29987406730651855,0.37561678886413574,0.6243832111358643
20260430_044004_m_sweep_2k_grid_c_bgs_N2000_M50_rank5-a24_S1_steps60000_dfa230,M120,M=120,120,1.1,0.16681350767612457,0.1675199419260025,0.3155114948749542,0.3887507915496826,0.6112492084503174
20260430_044004_m_sweep_2k_grid_c_bgs_N2000_M50_rank5-a24_S1_steps60000_dfa230,M120,M=120,120,1.15,0.1991528868675232,0.19896185398101807,0.32990187406539917,0.3997154235839844,0.6002845764160156
20260430_044004_m_sweep_2k_grid_c_bgs_N2000_M50_rank5-a24_S1_steps60000_dfa230,M120,M=120,120,1.2,0.23348291218280792,0.23292607069015503,0.3468116521835327,0.4141577482223511,0.5858422517776489
20260430_044004_m_sweep_2k_grid_c_bgs_N2000_M50_rank5-a24_S1_steps60000_dfa230,M120,M=120,120,1.25,0.28820931911468506,0.2871626913547516,0.3691776692867279,0.44005370140075684,0.5599462985992432
20260430_044004_m_sweep_2k_grid_c_bgs_N2000_M50_rank5-a24_S1_steps60000_dfa230,M120,M=120,120,1.3,0.32426536083221436,0.32401832938194275,0.38972100615501404,0.45932507514953613,0.5406749248504639
20260430_044004_m_sweep_2k_grid_c_bgs_N2000_M50_rank5-a24_S1_steps60000_dfa230,M120,M=120,120,1.4,0.4178897738456726,0.41746145486831665,0.44322827458381653,0.5211759805679321,0.47882404923439026
20260430_044004_m_sweep_2k_grid_c_bgs_N2000_M50_rank5-a24_S1_steps60000_dfa230,M120,M=120,120,1.5,0.5016283392906189,0.5011330842971802,0.5054718852043152,0.5859595537185669,0.4140404462814331
20260430_044004_m_sweep_2k_grid_c_bgs_N2000_M50_rank5-a24_S1_steps60000_dfa230,M120,M=120,120,1.6,0.6005069017410278,0.6004929542541504,0.6006255149841309,0.6628119945526123,0.3371879756450653
20260430_044004_m_sweep_2k_grid_c_bgs_N2000_M50_rank5-a24_S1_steps60000_dfa230,M120,M=120,120,1.7,0.701969563961029,0.7012226581573486,0.7018264532089233,0.7415220737457275,0.25847792625427246
20260430_044004_m_sweep_2k_grid_c_bgs_N2000_M50_rank5-a24_S1_steps60000_dfa230,M120,M=120,120,1.8,0.8008650541305542,0.7999240159988403,0.8008691668510437,0.8192065358161926,0.18079347908496857
20260430_044004_m_sweep_2k_grid_c_bgs_N2000_M50_rank5-a24_S1_steps60000_dfa230,M120,M=120,120,1.9,0.900981068611145,0.9003456234931946,0.9007695913314819,0.9069403409957886,0.09305966645479202
20260430_044004_m_sweep_2k_grid_c_bgs_N2000_M50_rank5-a24_S1_steps60000_dfa230,M120,M=120,120,2.0,0.9925788044929504,0.9917219877243042,0.9920812845230103,0.9941279888153076,0.005871984176337719
20260430_044004_m_sweep_2k_grid_c_bgs_N2000_M50_rank5-a24_S1_steps60000_dfa230,M120,M=120,120,2.1,1.0001871585845947,0.9992858171463013,0.9998879432678223,0.9999995231628418,4.915032150165644e-07
20260430_044004_m_sweep_2k_grid_c_bgs_N2000_M50_rank5-a24_S1_steps60000_dfa230,M120,M=120,120,2.3,1.000256896018982,0.9993003606796265,0.9999401569366455,0.9999958276748657,4.159083346166881e-06
20260430_044004_m_sweep_2k_grid_c_bgs_N2000_M50_rank5-a24_S1_steps60000_dfa230,M120,M=120,120,2.5,1.0003175735473633,0.9993277192115784,0.9999772906303406,1.0,1.55085064790228e-08
20260430_044004_m_sweep_2k_grid_c_bgs_N2000_M50_rank5-a24_S1_steps60000_dfa230,M150,M=150,150,0.0,5.605193857299268e-45,5.605193857299268e-45,0.0,0.0,1.0
20260430_044004_m_sweep_2k_grid_c_bgs_N2000_M50_rank5-a24_S1_steps60000_dfa230,M150,M=150,150,0.3,0.007131276652216911,0.0070045702159404755,0.04721975326538086,0.088287353515625,0.911712646484375
20260430_044004_m_sweep_2k_grid_c_bgs_N2000_M50_rank5-a24_S1_steps60000_dfa230,M150,M=150,150,0.6,0.02699047513306141,0.026323895901441574,0.1836496889591217,0.2848018407821655,0.7151981592178345
20260430_044004_m_sweep_2k_grid_c_bgs_N2000_M50_rank5-a24_S1_steps60000_dfa230,M150,M=150,150,0.75,0.04718898609280586,0.04603119567036629,0.22562704980373383,0.32454562187194824,0.6754543781280518
20260430_044004_m_sweep_2k_grid_c_bgs_N2000_M50_rank5-a24_S1_steps60000_dfa230,M150,M=150,150,0.85,0.06239790469408035,0.062214069068431854,0.2505786418914795,0.34384721517562866,0.6561527848243713
20260430_044004_m_sweep_2k_grid_c_bgs_N2000_M50_rank5-a24_S1_steps60000_dfa230,M150,M=150,150,0.9,0.07873646914958954,0.07884097844362259,0.2618337869644165,0.35102325677871704,0.648976743221283
20260430_044004_m_sweep_2k_grid_c_bgs_N2000_M50_rank5-a24_S1_steps60000_dfa230,M150,M=150,150,0.95,0.08935487270355225,0.0901990458369255,0.2733283042907715,0.35735607147216797,0.642643928527832
20260430_044004_m_sweep_2k_grid_c_bgs_N2000_M50_rank5-a24_S1_steps60000_dfa230,M150,M=150,150,1.0,0.11086469888687134,0.11065913736820221,0.28680670261383057,0.367432177066803,0.632567822933197
20260430_044004_m_sweep_2k_grid_c_bgs_N2000_M50_rank5-a24_S1_steps60000_dfa230,M150,M=150,150,1.05,0.13202667236328125,0.13136497139930725,0.2973623275756836,0.3726206421852112,0.6273793578147888
20260430_044004_m_sweep_2k_grid_c_bgs_N2000_M50_rank5-a24_S1_steps60000_dfa230,M150,M=150,150,1.1,0.16270849108695984,0.16149017214775085,0.3119143545627594,0.38403165340423584,0.6159683465957642
20260430_044004_m_sweep_2k_grid_c_bgs_N2000_M50_rank5-a24_S1_steps60000_dfa230,M150,M=150,150,1.15,0.20576216280460358,0.20465557277202606,0.3287290036678314,0.3995852470397949,0.6004147529602051
20260430_044004_m_sweep_2k_grid_c_bgs_N2000_M50_rank5-a24_S1_steps60000_dfa230,M150,M=150,150,1.2,0.24532653391361237,0.24372155964374542,0.34663718938827515,0.41636890172958374,0.5836310982704163
20260430_044004_m_sweep_2k_grid_c_bgs_N2000_M50_rank5-a24_S1_steps60000_dfa230,M150,M=150,150,1.25,0.2921033203601837,0.2908170819282532,0.3677409291267395,0.4386955499649048,0.5613044500350952
20260430_044004_m_sweep_2k_grid_c_bgs_N2000_M50_rank5-a24_S1_steps60000_dfa230,M150,M=150,150,1.3,0.32937297224998474,0.32790592312812805,0.38887161016464233,0.45980894565582275,0.5401910543441772
20260430_044004_m_sweep_2k_grid_c_bgs_N2000_M50_rank5-a24_S1_steps60000_dfa230,M150,M=150,150,1.4,0.4205171763896942,0.41848093271255493,0.4418103098869324,0.520842432975769,0.47915759682655334
20260430_044004_m_sweep_2k_grid_c_bgs_N2000_M50_rank5-a24_S1_steps60000_dfa230,M150,M=150,150,1.5,0.5023665428161621,0.5013045072555542,0.5041220784187317,0.5844713449478149,0.41552862524986267
20260430_044004_m_sweep_2k_grid_c_bgs_N2000_M50_rank5-a24_S1_steps60000_dfa230,M150,M=150,150,1.6,0.5987297892570496,0.5969896912574768,0.5988214612007141,0.6588377952575684,0.34116223454475403
20260430_044004_m_sweep_2k_grid_c_bgs_N2000_M50_rank5-a24_S1_steps60000_dfa230,M150,M=150,150,1.7,0.7013083100318909,0.6994890570640564,0.699619472026825,0.7374285459518433,0.26257145404815674
