run_id,series,alpha,Q_Y_COS_mean,Q_Y_COS_std,Q_Y_COS_sem,Q_Y_mean,FIT_Y_mean,Q_W_mean,Q_X_mean
_latest,"BiGAMP (F = Ising, no Onsager)",2,0.2916836441,0.006214676891,0.001389643999,0.5092789531,-2.030770302,0.001534187119,0.004536811262
_latest,"BiGAMP (F = Ising, no Onsager)",2.1,0.2910546958,0.004590949044,0.001026567414,0.5321212411,-2.279189825,0.003810815979,0.005099562462
_latest,"BiGAMP (F = Ising, no Onsager)",2.2,0.3043599427,0.007168659475,0.001602960989,0.5605349541,-2.271952868,0.00200023246,-0.006403026637
_latest,"BiGAMP (F = Ising, no Onsager)",2.3,0.3249250054,0.007243728731,0.001619746985,0.5832053423,-2.057250977,-0.004470896441,-0.005862288177
_latest,"BiGAMP (F = Ising, no Onsager)",2.4,0.3523162305,0.007097593509,0.001587070156,0.6064614654,-1.751713753,-0.005069790408,-0.007435505278
_latest,"BiGAMP (F = Ising, no Onsager)",2.5,0.3795910478,0.008439944126,0.001887228879,0.626181066,-1.469825864,-0.005379325245,-0.003783233929
_latest,"BiGAMP (F = Ising, no Onsager)",2.6,0.408898741,0.008530985564,0.001907586364,0.643568933,-1.19129014,-0.002482993295,0.0002112096263
_latest,"BiGAMP (F = Ising, no Onsager)",2.7,0.4473426044,0.009391034953,0.002099899253,0.6666621566,-0.8882550597,0.00944028236,0.005874629132
_latest,"BiGAMP (F = Ising, no Onsager)",2.8,0.4818728566,0.007011582144,0.00156783743,0.6827630401,-0.6425320506,0.00578864431,0.00277774944
_latest,"BiGAMP (F = Ising, no Onsager)",2.9,0.5223473907,0.01018497441,0.002277429513,0.7019947767,-0.4029140174,-0.01060905308,-0.005179346539
_latest,"BiGAMP (F = Ising, no Onsager)",3,0.558565259,0.006259864662,0.001399748291,0.71496135,-0.2087341994,-0.01217161771,-0.009260206483
_latest,"BiGAMP (F = Ising, no Onsager)",3.1,0.6016219258,0.0067862859,0.001517459659,0.7342834473,-0.02126942016,0.01505076326,0.01281553507
_latest,"BiGAMP (F = Ising, no Onsager)",3.2,0.6488403678,0.01343036816,0.003003121616,0.756058991,0.1537701637,-0.002415426075,-0.001790978014
_latest,"BiGAMP (F = Ising, no Onsager)",3.3,0.7156099677,0.07043648511,0.01575007688,0.7911506295,0.3534863889,0.01665438339,0.01946151815
_latest,"BiGAMP (F = Ising, no Onsager)",3.4,0.8506833911,0.1150945574,0.02573592542,0.8781290054,0.6819993258,0.006187972613,0.005527459085
_latest,"BiGAMP (F = Ising, no Onsager)",3.5,0.9687450528,0.06723561138,0.01503433976,0.9695213437,0.9368805885,0.02481221035,0.03051032126
_latest,"BiGAMP (F = Ising, no Onsager)",3.6,1,2.734848614e-08,6.11530741e-09,1,1,0.04076302424,0.04012058675
_latest,"BiGAMP (F = Ising, no Onsager)",3.7,1,3.86765997e-08,8.648350607e-09,1,1,0.01520313323,0.009219576605
_latest,"BiGAMP (F = Ising, no Onsager)",3.8,1,3.86765997e-08,8.648350607e-09,1,1,0.07958873361,0.08093203604
_latest,"BiGAMP (F = Ising, no Onsager)",3.9,1,3.86765997e-08,8.648350607e-09,1,1,0.01163859386,0.01660408452
_latest,"BiGAMP (F = Ising, no Onsager)",4,1,5.296011807e-08,1.184224241e-08,1,1,-0.0001250645146,-0.007856316864
_latest,"BiGAMP (F = Ising, Onsager)",0,0,0,0,0,0,0,0
_latest,"BiGAMP (F = Ising, Onsager)",0.1,0,0,0,1.53863027e-35,0,-2.799428316e-20,-3.184943919e-20
_latest,"BiGAMP (F = Ising, Onsager)",0.2,0.0664858222,0.01701022126,0.003803601104,0.0003050687374,0.0005859732628,-4.838013047e-05,6.617477629e-05
_latest,"BiGAMP (F = Ising, Onsager)",0.3,0.1739643067,0.006740211509,0.001507157112,0.007293439936,0.01281838119,0.0002837415086,0.000150120235
_latest,"BiGAMP (F = Ising, Onsager)",0.4,0.2225702256,0.004798749462,0.001073033,0.02024048381,0.03220428154,0.0009506243514,0.001285560778
_latest,"BiGAMP (F = Ising, Onsager)",0.5,0.2593548894,0.004095913842,0.0009158741781,0.0367622152,0.05342758447,-0.0005840244121,-7.14331909e-05
_latest,"BiGAMP (F = Ising, Onsager)",0.6,0.2923561037,0.00670031365,0.001498235679,0.05578477308,0.07516564429,0.0008769351989,0.0003721532703
_latest,"BiGAMP (F = Ising, Onsager)",0.7,0.3226710856,0.006588885561,0.001473319601,0.07687027007,0.0969870314,-0.005286589731,-0.004662699532
_latest,"BiGAMP (F = Ising, Onsager)",0.8,0.3535958529,0.005971414968,0.001335248979,0.1006652862,0.1202784106,-0.00559252454,-0.006033067126
_latest,"BiGAMP (F = Ising, Onsager)",0.9,0.3876611888,0.006538326386,0.001462014226,0.1280718446,0.1469845027,0.0005702145863,-5.44445611e-05
_latest,"BiGAMP (F = Ising, Onsager)",1,0.4251014292,0.008425217122,0.001883935821,0.1596937329,0.1782554835,0.006434047129,0.005105260294
_latest,"BiGAMP (F = Ising, Onsager)",1.1,0.4573781192,0.01179425232,0.002637274993,0.1920871735,0.2078272849,-0.003285086481,-0.003825092688
_latest,"BiGAMP (F = Ising, Onsager)",1.2,0.5025615692,0.01210708544,0.002707226605,0.2339048386,0.2512097359,-0.001808757777,-0.00223367312
_latest,"BiGAMP (F = Ising, Onsager)",1.3,0.5512295365,0.01409669593,0.003152117036,0.2817786932,0.3022511899,0.00609355513,0.004313509911
_latest,"BiGAMP (F = Ising, Onsager)",1.4,0.6143764853,0.0156133119,0.003491242677,0.3437295854,0.3744304776,-0.01390375104,-0.01508527715
_latest,"BiGAMP (F = Ising, Onsager)",1.5,0.6880961657,0.01899356395,0.004247090013,0.4241577685,0.4683569968,0.003950378392,0.003595119342
_latest,"BiGAMP (F = Ising, Onsager)",1.6,0.7682068348,0.01383214444,0.003092961524,0.5372391939,0.5853651762,0.002352579031,0.0007077124319
_latest,"BiGAMP (F = Ising, Onsager)",1.7,0.8355379105,0.006608689204,0.00147774783,0.6603505015,0.6960877776,-0.006890593562,-0.007916909643
_latest,"BiGAMP (F = Ising, Onsager)",1.8,0.8818952441,0.05431115255,0.0121443429,0.770452857,0.7769986987,-0.007288561203,-0.00916073937
_latest,"BiGAMP (F = Ising, Onsager)",1.9,0.8929092288,0.1043271571,0.02332826153,0.8483805656,0.7901747823,0.002053893404,0.0009795554215
_latest,"BiGAMP (F = Ising, Onsager)",2,0.9055594802,0.2776810527,0.06209137099,0.9424890876,-2.173971891,0.03396460414,0.03619910777
_latest,"BiGAMP (F = Ising, Onsager)",2.1,0.9999759793,6.299508095e-05,1.408612833e-05,1.000011086,0.9999519587,0.03729569167,0.03598193824
_latest,"BiGAMP (F = Ising, Onsager)",2.2,1,7.235729527e-08,1.617958309e-08,0.9999953508,1,-0.0269660987,-0.03116634861
_latest,"BiGAMP (F = Ising, Onsager)",2.3,1,9.070466689e-08,2.02821801e-08,0.9999963045,1,-0.009161545895,-0.0101622669
_latest,"BiGAMP (F = Ising, Onsager)",2.4,1,1.381030899e-07,3.088078968e-08,0.9999972582,1,0.03710315749,0.03852572665
_latest,"BiGAMP (F = Ising, Onsager)",2.5,1,7.105344935e-08,1.588803428e-08,0.999997735,1,0.00879047811,0.008556556888
