run_id,series,alpha,Q_Y_COS_mean,Q_Y_COS_std,Q_Y_mean,NMSE_Y_mean,FIT_Y_mean,Q_W_mean,Q_X_mean
20260503_012214_agd_N200_M50_a41_S5_steps200000_4242bd,"AGD, 200k steps",2.4,1.0000000596046448,8.429369702178807e-08,0.9999988317489624,1.1433228586099632e-09,0.999999998856677,0.0032289376482367515,0.009198386408388614
20260503_012214_agd_N200_M50_a41_S5_steps200000_4242bd,"AGD, 200k steps",2.5,1.0000000953674317,5.331201499700045e-08,0.9999995470046997,6.217167225486265e-10,0.9999999993782833,-0.0009662888245657086,0.003944213408976794
20260503_012214_agd_N200_M50_a41_S5_steps200000_4242bd,"AGD, 200k steps",2.6,1.0,7.300048299977713e-08,0.9999995231628418,3.7905165672924566e-10,0.9999999996209483,-0.006855168007314205,0.0014257978647947312
20260503_012214_agd_N200_M50_a41_S5_steps200000_4242bd,"AGD, 200k steps",2.7,0.9999999642372132,3.2646808475563895e-08,0.9999996542930603,2.4579456803230925e-10,0.9999999997542055,0.004221497476100922,-0.002291232720017433
20260503_012214_agd_N200_M50_a41_S5_steps200000_4242bd,"AGD, 200k steps",2.8,1.000000011920929,6.529361695112778e-08,0.999999749660492,1.5127430974537505e-10,0.9999999998487257,-0.0076982414349913595,-0.005522694624960423
20260503_012214_agd_N200_M50_a41_S5_steps200000_4242bd,"AGD, 200k steps",2.9,1.0000000834465026,7.996802249550069e-08,0.9999998331069946,9.681605239730828e-11,0.9999999999031839,0.011860148049890995,0.008681791368871927
20260503_012214_agd_N200_M50_a41_S5_steps200000_4242bd,"AGD, 200k steps",3.0,1.000000035762787,7.996802249550067e-08,0.9999998331069946,7.207865693192871e-11,0.9999999999279213,-0.007607356645166874,-0.00343429297208786
20260503_012214_agd_N200_M50_a41_S5_steps200000_4242bd,"AGD, 200k steps",3.1,1.000000035762787,7.996802249550067e-08,0.9999999046325684,4.955188759314666e-11,0.9999999999504482,-0.0036933627910912038,0.0004270114004611969
20260503_012214_agd_N200_M50_a41_S5_steps200000_4242bd,"AGD, 200k steps",3.2,1.0000000834465026,7.996802249550069e-08,0.9999998807907104,3.568743148218978e-11,0.9999999999643127,0.0018786347471177578,0.004684374376665801
20260503_012214_agd_N200_M50_a41_S5_steps200000_4242bd,"AGD, 200k steps",3.3,1.0000000953674317,5.331201499700045e-08,0.9999999403953552,2.5912826051577297e-11,0.9999999999740872,-0.025920720770955086,-0.02125729253166355
20260503_012214_agd_N200_M50_a41_S5_steps200000_4242bd,"AGD, 200k steps",3.4,1.0000000715255737,6.529361695112779e-08,0.9999999046325684,2.014419915596921e-11,0.9999999999798558,0.008551521366462112,0.003230041451752186
20260503_012214_agd_N200_M50_a41_S5_steps200000_4242bd,"AGD, 200k steps",3.5,1.000000011920929,6.529361695112778e-08,0.9999999523162841,1.4121670499633865e-11,0.9999999999858783,0.00458439071662724,0.0019480427727103233
20260503_012214_agd_N200_M50_a41_S5_steps200000_4242bd,"AGD, 200k steps",3.6,1.0000001192092896,0.0,1.0,1.0893346814866423e-11,0.9999999999891067,0.015791531349532307,0.011188692535506561
20260503_012214_agd_N200_M50_a41_S5_steps200000_4242bd,"AGD, 200k steps",3.7,1.000000011920929,6.529361695112778e-08,0.9999999523162841,8.114066016307042e-12,0.9999999999918859,-0.018912792578339575,-0.01621629558503628
20260503_012214_agd_N200_M50_a41_S5_steps200000_4242bd,"AGD, 200k steps",3.8,1.0000000715255737,6.529361695112779e-08,0.9999999880790711,6.211581422832513e-12,0.9999999999937884,-0.015269243251532316,-0.02185753295198083
20260503_012214_agd_N200_M50_a41_S5_steps200000_4242bd,"AGD, 200k steps",3.9,1.0000000953674317,5.331201499700045e-08,1.0,4.42847234577437e-12,0.9999999999955715,0.0019974052091129126,0.007757285190746188
20260503_012214_agd_N200_M50_a41_S5_steps200000_4242bd,"AGD, 200k steps",4.0,1.0000000953674317,5.331201499700045e-08,1.0,3.1480105414788405e-12,0.999999999996852,-0.00917501412332058,-0.005692504101898521
20260503_012128_bg_N200_M50_a41_S5_steps5000_ddc484,"Dense BiGAMP, 5k steps",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
20260503_012128_bg_N200_M50_a41_S5_steps5000_ddc484,"Dense BiGAMP, 5k steps",0.1,0.0,0.0,0.0,1.0,0.0,0.0,0.0
20260503_012128_bg_N200_M50_a41_S5_steps5000_ddc484,"Dense BiGAMP, 5k steps",0.2,0.05616842284798622,0.00012298191943946888,0.0002317073696758598,0.999553632736206,0.0004463672637939453,-0.00011392602464184165,-0.00021019463893026113
20260503_012128_bg_N200_M50_a41_S5_steps5000_ddc484,"Dense BiGAMP, 5k steps",0.3,0.1312251478433609,2.0761501320391185e-05,0.005953447613865137,0.9901513934135437,0.0098486065864563,-0.00034589284914545717,-0.00033373393816873433
20260503_012128_bg_N200_M50_a41_S5_steps5000_ddc484,"Dense BiGAMP, 5k steps",0.4,0.20427999496459961,3.009613057464447e-05,0.0167711578309536,0.9731979370117188,0.02680206298828125,-0.0011206424096599221,-4.8608670476824044e-05
