run_id,series,alpha,Q_W_mean
20260503_021534_bg_N200_M50_a41_S20_steps5000_63ff7e,BiGAMP (F = 1),4,0.001104699972
_latest,"BiGAMP (F = Ising, no Onsager)",0,0.0002881027758
_latest,"BiGAMP (F = Ising, no Onsager)",0.1,0.001168324845
_latest,"BiGAMP (F = Ising, no Onsager)",0.2,0.0001069112695
_latest,"BiGAMP (F = Ising, no Onsager)",0.3,-0.001397004351
_latest,"BiGAMP (F = Ising, no Onsager)",0.4,0.00216463278
_latest,"BiGAMP (F = Ising, no Onsager)",0.5,-0.0004219041148
_latest,"BiGAMP (F = Ising, no Onsager)",0.6,-0.001270307926
_latest,"BiGAMP (F = Ising, no Onsager)",0.7,-0.001546607702
_latest,"BiGAMP (F = Ising, no Onsager)",0.8,-0.003787490306
_latest,"BiGAMP (F = Ising, no Onsager)",0.9,-0.001103940071
_latest,"BiGAMP (F = Ising, no Onsager)",1,2.060788756e-05
_latest,"BiGAMP (F = Ising, no Onsager)",1.1,-0.00266267336
_latest,"BiGAMP (F = Ising, no Onsager)",1.2,-0.0003283298574
_latest,"BiGAMP (F = Ising, no Onsager)",1.3,-0.005149885546
_latest,"BiGAMP (F = Ising, no Onsager)",1.4,0.003902225988
_latest,"BiGAMP (F = Ising, no Onsager)",1.5,-0.009328638203
_latest,"BiGAMP (F = Ising, no Onsager)",1.6,0.0022822225
_latest,"BiGAMP (F = Ising, no Onsager)",1.7,-0.005414512474
_latest,"BiGAMP (F = Ising, no Onsager)",1.8,-0.00146097166
_latest,"BiGAMP (F = Ising, no Onsager)",1.9,-0.004328692798
_latest,"BiGAMP (F = Ising, no Onsager)",2,0.001534187119
_latest,"BiGAMP (F = Ising, no Onsager)",2.1,0.003810815979
_latest,"BiGAMP (F = Ising, no Onsager)",2.2,0.00200023246
_latest,"BiGAMP (F = Ising, no Onsager)",2.3,-0.004470896441
_latest,"BiGAMP (F = Ising, no Onsager)",2.4,-0.005069790408
_latest,"BiGAMP (F = Ising, no Onsager)",2.5,-0.005379325245
_latest,"BiGAMP (F = Ising, no Onsager)",2.6,-0.002482993295
_latest,"BiGAMP (F = Ising, no Onsager)",2.7,0.00944028236
_latest,"BiGAMP (F = Ising, no Onsager)",2.8,0.00578864431
_latest,"BiGAMP (F = Ising, no Onsager)",2.9,-0.01060905308
_latest,"BiGAMP (F = Ising, no Onsager)",3,-0.01217161771
_latest,"BiGAMP (F = Ising, no Onsager)",3.1,0.01505076326
_latest,"BiGAMP (F = Ising, no Onsager)",3.2,-0.002415426075
_latest,"BiGAMP (F = Ising, no Onsager)",3.3,0.01665438339
_latest,"BiGAMP (F = Ising, no Onsager)",3.4,0.006187972613
_latest,"BiGAMP (F = Ising, no Onsager)",3.5,0.02481221035
_latest,"BiGAMP (F = Ising, no Onsager)",3.6,0.04076302424
