run_id,size_N,N,M,alpha,Q_W_mean,Q_X_mean,Q_Y_mean,FIT_Y_mean,R_W_mean,R_X_mean
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N2000,2000,50,1.1,0.16653911769390106,0.16685207188129425,0.31250232458114624,0.3864019513130188,0.32431548833847046,0.32431554794311523
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N2000,2000,50,1.15,0.19764940440654755,0.19822800159454346,0.3267859220504761,0.39621180295944214,0.3440033495426178,0.3440033793449402
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N2000,2000,50,1.2,0.24198246002197266,0.2430698573589325,0.34657642245292664,0.41699326038360596,0.3648632764816284,0.3648633360862732
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N2000,2000,50,1.25,0.27752482891082764,0.2777639329433441,0.36460962891578674,0.43171584606170654,0.38616546988487244,0.38616448640823364
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N2000,2000,50,1.3,0.3226400911808014,0.3244645893573761,0.38750144839286804,0.45792311429977417,0.4071451425552368,0.4071427583694458
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N2000,2000,50,1.4,0.4041477143764496,0.40562546253204346,0.4375690221786499,0.5104602575302124,0.4518265426158905,0.45173922181129456
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N2000,2000,50,1.5,0.49498119950294495,0.4980437457561493,0.5032587647438049,0.5794706344604492,0.506840705871582,0.5070200562477112
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N2000,2000,50,1.6,0.597437858581543,0.6003407835960388,0.5982270836830139,0.6608090400695801,0.5960866212844849,0.5962106585502625
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N2000,2000,50,1.7,0.7011165618896484,0.7044523358345032,0.7017204165458679,0.7424339056015015,0.697736382484436,0.697787344455719
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N2000,2000,50,1.8,0.8004293441772461,0.8039706945419312,0.8016543388366699,0.8224501609802246,0.7991523742675781,0.7992358207702637
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N2000,2000,50,1.9,0.8997326493263245,0.9041987061500549,0.901242196559906,0.9082632660865784,0.8997311592102051,0.8997563719749451
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N2000,2000,50,2.0,0.9898356795310974,0.995043158531189,0.9922963976860046,0.9940721988677979,0.9905328750610352,0.9905533194541931
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N2000,2000,50,2.1,0.9974486231803894,1.002754807472229,0.9998776316642761,0.9999994039535522,0.9999035596847534,0.9999784231185913
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N2000,2000,50,2.3,0.9975658059120178,1.0027425289154053,0.9999304413795471,0.9999972581863403,1.000141978263855,0.9999571442604065
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N2000,2000,50,2.5,0.9975932836532593,1.0028011798858643,0.9999748468399048,1.0,1.000194787979126,1.0000718832015991
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N5000,5000,50,0.0,5.605193857299268e-45,5.605193857299268e-45,0.0,0.0,0.0,0.0
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N5000,5000,50,0.3,0.007708746008574963,0.007288212887942791,0.05286959558725357,0.09667950868606567,0.02655932493507862,0.02655932493507862
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N5000,5000,50,0.6,0.01656045950949192,0.01711825467646122,0.18214887380599976,0.28081953525543213,0.13895365595817566,0.13895365595817566
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N5000,5000,50,0.75,0.034867532551288605,0.03485789895057678,0.22406211495399475,0.32054102420806885,0.1939626932144165,0.1939626932144165
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N5000,5000,50,0.85,0.05408874899148941,0.05326471105217934,0.24921487271785736,0.34049224853515625,0.23043781518936157,0.23043781518936157
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N5000,5000,50,0.9,0.06751589477062225,0.06628306955099106,0.2600707411766052,0.34687817096710205,0.24874728918075562,0.24874727427959442
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N5000,5000,50,0.95,0.09855303168296814,0.09746108204126358,0.2719467282295227,0.35574793815612793,0.2670673727989197,0.2670673429965973
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N5000,5000,50,1.0,0.12196766585111618,0.12049756199121475,0.2859688401222229,0.36710983514785767,0.2857101261615753,0.2857101559638977
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N5000,5000,50,1.05,0.12889045476913452,0.12870950996875763,0.29738232493400574,0.3721565008163452,0.3047946095466614,0.3047946095466614
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N5000,5000,50,1.1,0.15224474668502808,0.15113325417041779,0.31003281474113464,0.3804120421409607,0.3243991732597351,0.3243991732597351
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N5000,5000,50,1.15,0.1931002289056778,0.19272568821907043,0.32609641551971436,0.3946996331214905,0.344675749540329,0.344675749540329
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N5000,5000,50,1.2,0.22874049842357635,0.22773727774620056,0.343563437461853,0.41037529706954956,0.36451318860054016,0.36451348662376404
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N5000,5000,50,1.25,0.27647459506988525,0.27570733428001404,0.3633196949958801,0.4304870367050171,0.38554418087005615,0.38554468750953674
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N5000,5000,50,1.3,0.31098711490631104,0.31110045313835144,0.3840658366680145,0.4502784013748169,0.4066559970378876,0.4066532254219055
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N5000,5000,50,1.4,0.40583351254463196,0.4062924385070801,0.43695101141929626,0.5107644200325012,0.45104390382766724,0.4511871933937073
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N5000,5000,50,1.5,0.49379321932792664,0.49419087171554565,0.5013341307640076,0.5779938697814941,0.5054008960723877,0.5055113434791565
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N5000,5000,50,1.6,0.5959022641181946,0.5958223938941956,0.5974265336990356,0.6581580638885498,0.5955617427825928,0.5955241322517395
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N5000,5000,50,1.7,0.7001462578773499,0.6994583606719971,0.6997116804122925,0.7390340566635132,0.6974954009056091,0.6974769234657288
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N5000,5000,50,1.8,0.8023682236671448,0.8016316294670105,0.8014553189277649,0.8223698139190674,0.798992931842804,0.7990008592605591
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N5000,5000,50,1.9,0.9020002484321594,0.9008630514144897,0.9009983539581299,0.9069209694862366,0.8997242450714111,0.8997480869293213
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N5000,5000,50,2.0,0.9932430982589722,0.9921733736991882,0.9921891093254089,0.9941288232803345,0.9908021092414856,0.9907894730567932
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N5000,5000,50,2.1,1.000922441482544,0.9998438358306885,0.9998797178268433,0.9999994039535522,1.0002557039260864,1.0002362728118896
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N5000,5000,50,2.3,1.0009517669677734,0.9999087452888489,0.9999244809150696,0.9999972581863403,1.0003163814544678,1.000368356704712
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N5000,5000,50,2.5,1.0010285377502441,0.9999276995658875,0.9999743700027466,1.0,1.0004671812057495,1.0004034042358398
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N10000,10000,50,0.0,5.605193857299268e-45,5.605193857299268e-45,0.0,0.0,0.0,0.0
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N10000,10000,50,0.3,0.006502106785774231,0.00673702685162425,0.05290726572275162,0.09661543369293213,0.02649684064090252,0.02649684064090252
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N10000,10000,50,0.6,0.01697295345366001,0.01709502935409546,0.18144787847995758,0.27992337942123413,0.13784560561180115,0.13784560561180115
