run_id,size_N,N,M,alpha,Q_Y_COS,Q_Y_mean,FIT_Y_mean,Q_W_mean,Q_X_mean,R_W_mean,R_X_mean,reused
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N200,200,50,1.25,0.6876353084413652,0.3725120723247528,0.45155370235443115,0.2888602018356323,0.29618972539901733,0.3802632689476013,0.3802632689476013,False
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N200,200,50,1.3,0.6960376093867487,0.3910702168941498,0.4664626121520996,0.3066025376319885,0.3164060413837433,0.3993270993232727,0.39932742714881897,False
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N200,200,50,1.4,0.707553072758621,0.42401227355003357,0.4889051914215088,0.3713470995426178,0.38043275475502014,0.44313016533851624,0.4432138502597809,False
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N200,200,50,1.5,0.7395458582669511,0.4784485399723053,0.5383539199829102,0.4395892918109894,0.4520348608493805,0.495623916387558,0.49519240856170654,False
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N200,200,50,1.6,0.8216052517388464,0.590264081954956,0.6643896102905273,0.5883846282958984,0.5985877513885498,0.5789827704429626,0.5789204239845276,False
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N200,200,50,1.7,0.8656967018331491,0.6957607269287109,0.7455872297286987,0.6898080706596375,0.702767550945282,0.6837495565414429,0.6837863922119141,False
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N200,200,50,1.8,0.9025140097198647,0.7899771332740784,0.8137913346290588,0.7813301682472229,0.794777512550354,0.787820041179657,0.7878152132034302,False
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N200,200,50,1.9,0.9544030855796948,0.9017574191093445,0.9107937812805176,0.8879048824310303,0.9019705653190613,0.8893364071846008,0.8893630504608154,False
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N200,200,50,2.0,0.9977774678195631,0.9936718940734863,0.9955562949180603,0.9770379662513733,0.9923843741416931,0.9819738268852234,0.9819468259811401,False
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N200,200,50,2.1,0.9999997136127307,0.999846875667572,0.9999994039535522,0.9833848476409912,0.9986203908920288,0.990397036075592,0.9898456931114197,False
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N200,200,50,2.3,0.9999979274204673,0.9998310208320618,0.9999958276748657,0.9834995865821838,0.9985960721969604,0.9906226396560669,0.9897944927215576,False
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N200,200,50,2.5,1.0,0.9999759793281555,1.0,0.9835488200187683,0.9986650943756104,0.9907107353210449,0.989919126033783,False
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N500,500,50,0.0,0.0,0.0,0.0,4.203895392974451e-45,5.605193857299268e-45,0.0,0.0,False
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N500,500,50,0.3,0.5780464805532194,0.05588348209857941,0.1024206280708313,0.009825254790484905,0.010397632606327534,0.028500858694314957,0.02850085310637951,False
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N500,500,50,0.6,0.6410251205688806,0.18714864552021027,0.2890612483024597,0.03476547822356224,0.036112602800130844,0.14126648008823395,0.14126649498939514,False
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N500,500,50,0.75,0.639581850546706,0.22917503118515015,0.3299567699432373,0.061774641275405884,0.06565573811531067,0.1959405243396759,0.1959405094385147,False
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N500,500,50,0.85,0.6379366545438245,0.2530820071697235,0.34877753257751465,0.08488136529922485,0.08886495977640152,0.2310119867324829,0.23101191222667694,False
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N500,500,50,0.9,0.6369958279751209,0.2651594281196594,0.3570418357849121,0.10160037130117416,0.1047215387225151,0.2497841864824295,0.2497842162847519,False
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N500,500,50,0.95,0.6360469512045007,0.27624446153640747,0.36385977268218994,0.11002228409051895,0.11538544297218323,0.2687751054763794,0.2687751054763794,False
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N500,500,50,1.0,0.6401799286870016,0.29038116335868835,0.3750156760215759,0.12695026397705078,0.12957634031772614,0.2877257466316223,0.287725567817688,False
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N500,500,50,1.05,0.6411725726350417,0.3020501136779785,0.3821742534637451,0.1571708619594574,0.15955089032649994,0.30766192078590393,0.30766192078590393,False
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N500,500,50,1.1,0.6468907897676581,0.31748878955841064,0.3941008448600769,0.1887124627828598,0.18991445004940033,0.32719171047210693,0.32719171047210693,False
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N500,500,50,1.15,0.6544849468923635,0.33425867557525635,0.40768224000930786,0.21297866106033325,0.21832343935966492,0.3483133614063263,0.3483133614063263,False
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N500,500,50,1.2,0.668566199971356,0.3535984456539154,0.4274715185165405,0.24295035004615784,0.24395331740379333,0.36874040961265564,0.36874037981033325,False
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N500,500,50,1.25,0.6682700825377023,0.36411580443382263,0.43135565519332886,0.26974377036094666,0.2717929482460022,0.3884018361568451,0.38839462399482727,False
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N500,500,50,1.3,0.6858468387206644,0.3881269097328186,0.45600080490112305,0.3070649802684784,0.30925753712654114,0.4089643657207489,0.40896445512771606,False
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N500,500,50,1.4,0.7266137033001546,0.4390934705734253,0.5130071043968201,0.40500327944755554,0.4075221121311188,0.4536372125148773,0.4536079466342926,False
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N500,500,50,1.5,0.7749449750746463,0.506879985332489,0.5859326124191284,0.49565669894218445,0.5021598935127258,0.5078738331794739,0.5084890723228455,False
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N500,500,50,1.6,0.8132458732314155,0.5946454405784607,0.654637336730957,0.5880858302116394,0.594561755657196,0.5962376594543457,0.596537709236145,False
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N500,500,50,1.7,0.8602024549962701,0.7005312442779541,0.7378485202789307,0.6994518041610718,0.7044834494590759,0.6997810006141663,0.6999594569206238,False
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N500,500,50,1.8,0.9104178614462153,0.805464506149292,0.8282002806663513,0.8035590648651123,0.809546172618866,0.8023041486740112,0.8024426102638245,False
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N500,500,50,1.9,0.9569018356175726,0.9062423706054688,0.915564239025116,0.9060911536216736,0.9130994081497192,0.9045810699462891,0.9046434164047241,False
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N500,500,50,2.0,0.9975339849720696,0.9929191470146179,0.9950693845748901,0.991319477558136,1.0001018047332764,0.9932693243026733,0.9932358860969543,False
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N500,500,50,2.1,0.999999738369934,0.9998846650123596,0.999999463558197,0.99848872423172,1.0071948766708374,1.0026249885559082,1.0023252964019775,False
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N500,500,50,2.3,0.9999986625633582,0.9999116659164429,0.9999973177909851,0.9984829425811768,1.0072773694992065,1.00261390209198,1.0024899244308472,False
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N500,500,50,2.5,1.0,0.9999744296073914,1.0,0.9985730051994324,1.0072959661483765,1.0027954578399658,1.0025275945663452,False
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N1000,1000,50,0.0,0.0,0.0,0.0,5.605193857299268e-45,5.605193857299268e-45,0.0,0.0,False
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N1000,1000,50,0.3,0.5589852021346436,0.05180907994508743,0.09502780437469482,0.007649496663361788,0.008301774971187115,0.0263354629278183,0.0263354629278183,False
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N1000,1000,50,0.6,0.6322181574002134,0.17962725460529327,0.2785290479660034,0.02748897299170494,0.02738562412559986,0.13724441826343536,0.13724441826343536,False
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N1000,1000,50,0.75,0.6293987571376078,0.223098024725914,0.32055264711380005,0.0502205565571785,0.05321282893419266,0.1935337483882904,0.1935337483882904,False
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N1000,1000,50,0.85,0.6287977850009381,0.248288094997406,0.3406605124473572,0.06595956534147263,0.06740507483482361,0.22989486157894135,0.22989483177661896,False
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N1000,1000,50,0.9,0.6281419069216898,0.2587345838546753,0.3478037118911743,0.08261101692914963,0.08345503360033035,0.24813242256641388,0.24813243746757507,False
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N1000,1000,50,0.95,0.6289881638776034,0.2721332311630249,0.3570783734321594,0.09270546585321426,0.09222082793712616,0.26698967814445496,0.26698964834213257,False
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N1000,1000,50,1.0,0.6279938614247699,0.28301170468330383,0.36292898654937744,0.11008144915103912,0.1131506934762001,0.2853066623210907,0.2853066921234131,False
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N1000,1000,50,1.05,0.6326611533099524,0.2973531484603882,0.37380272150039673,0.13682793080806732,0.1425185352563858,0.30443862080574036,0.30443862080574036,False
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N1000,1000,50,1.1,0.6362266370174307,0.3099888265132904,0.3825843930244446,0.1657804697751999,0.1713462918996811,0.324027419090271,0.324027419090271,False
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N1000,1000,50,1.15,0.6456985266987049,0.3272184133529663,0.39762449264526367,0.1962715983390808,0.20003163814544678,0.343889057636261,0.3438889682292938,False
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N1000,1000,50,1.2,0.6508487758171907,0.34209486842155457,0.407920241355896,0.2246832400560379,0.22742432355880737,0.3649066984653473,0.3649064004421234,False
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N1000,1000,50,1.25,0.660812449703532,0.3601943254470825,0.4232786297798157,0.2544267773628235,0.2575516700744629,0.38517284393310547,0.3851732313632965,False
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N1000,1000,50,1.3,0.6782682223616111,0.3830164968967438,0.44714951515197754,0.30322790145874023,0.31102386116981506,0.4072265028953552,0.4072125554084778,False
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N1000,1000,50,1.4,0.7192459931565225,0.4339347779750824,0.503875732421875,0.3992821276187897,0.40645700693130493,0.4528416395187378,0.452674925327301,False
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N1000,1000,50,1.5,0.7632950233826399,0.49971500039100647,0.5708223581314087,0.4843720495700836,0.49087655544281006,0.5088453888893127,0.5085537433624268,False
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N1000,1000,50,1.6,0.8116558565555386,0.5957251191139221,0.6527490019798279,0.590199887752533,0.5963254570960999,0.5982039570808411,0.5981842279434204,False
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N1000,1000,50,1.7,0.8640180316492593,0.7032787203788757,0.7440216541290283,0.7014296650886536,0.7077944874763489,0.7015432715415955,0.7015759348869324,False
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N1000,1000,50,1.8,0.9099238807622525,0.8061202168464661,0.8273853063583374,0.8041442036628723,0.8120776414871216,0.8026373386383057,0.8024042248725891,False
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N1000,1000,50,1.9,0.9543333843401169,0.9019677042961121,0.9106674790382385,0.9009602069854736,0.9100366830825806,0.9019973278045654,0.901687741279602,False
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N1000,1000,50,2.0,0.9969876463162934,0.9918704628944397,0.9939798712730408,0.9889021515846252,0.9988327026367188,0.9919769763946533,0.9918037056922913,False
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N1000,1000,50,2.1,0.9999997385491028,0.9998831152915955,0.999999463558197,0.9965659379959106,1.0065722465515137,1.0014379024505615,1.0011723041534424,False
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N1000,1000,50,2.3,0.999998602056973,0.9999228119850159,0.9999971985816956,0.9966250658035278,1.0065923929214478,1.0015569925308228,1.001212477684021,False
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N1000,1000,50,2.5,1.0,0.9999748468399048,1.0,0.9967077374458313,1.0066120624542236,1.0017189979553223,1.0012472867965698,False
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N2000,2000,50,0.0,0.0,0.0,0.0,5.605193857299268e-45,5.605193857299268e-45,0.0,0.0,False
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N2000,2000,50,0.3,0.560989833899951,0.05290903523564339,0.09692299365997314,0.00704260915517807,0.007055718917399645,0.026791654527187347,0.026791652664542198,False
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N2000,2000,50,0.6,0.6303869973074067,0.1805272251367569,0.27904367446899414,0.019296370446681976,0.01982193998992443,0.13804443180561066,0.13804443180561066,False
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N2000,2000,50,0.75,0.6303699760186022,0.22426515817642212,0.32195979356765747,0.045912615954875946,0.047189801931381226,0.19398604333400726,0.19398604333400726,False
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N2000,2000,50,0.85,0.6300475571149607,0.24977879226207733,0.34238946437835693,0.0771334320306778,0.07754639536142349,0.23056186735630035,0.23056188225746155,False
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N2000,2000,50,0.9,0.6326575507947404,0.26248595118522644,0.35283470153808594,0.09291283041238785,0.09131322056055069,0.24875038862228394,0.24875038862228394,False
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N2000,2000,50,0.95,0.6279643352789374,0.2720375657081604,0.35640817880630493,0.08947626501321793,0.08848853409290314,0.26705121994018555,0.26705121994018555,False
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N2000,2000,50,1.0,0.6270265317043582,0.2834874093532562,0.36256784200668335,0.11119858920574188,0.11148316413164139,0.2861144542694092,0.28611448407173157,False
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N2000,2000,50,1.05,0.6341424890290223,0.2980627715587616,0.37520211935043335,0.14147421717643738,0.14299078285694122,0.30513516068458557,0.30513516068458557,False
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N2000,2000,50,1.1,0.6397577819417778,0.31250232458114624,0.3864019513130188,0.16653911769390106,0.16685207188129425,0.32431548833847046,0.32431554794311523,False
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N2000,2000,50,1.15,0.6441585567749328,0.3267859220504761,0.39621180295944214,0.19764940440654755,0.19822800159454346,0.3440033495426178,0.3440033793449402,False
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N2000,2000,50,1.2,0.6595063083841866,0.34657642245292664,0.41699326038360596,0.24198246002197266,0.2430698573589325,0.3648632764816284,0.3648633360862732,False
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N2000,2000,50,1.25,0.6684703646153601,0.36460962891578674,0.43171584606170654,0.27752482891082764,0.2777639329433441,0.38616546988487244,0.38616448640823364,False
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N2000,2000,50,1.3,0.688159412340007,0.38750144839286804,0.45792311429977417,0.3226400911808014,0.3244645893573761,0.4071451425552368,0.4071427583694458,False
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N2000,2000,50,1.4,0.7245892944175611,0.4375690221786499,0.5104602575302124,0.4041477143764496,0.40562546253204346,0.4518265426158905,0.45173922181129456,False
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N2000,2000,50,1.5,0.7701114189633577,0.5032587647438049,0.5794706344604492,0.49498119950294495,0.4980437457561493,0.506840705871582,0.5070200562477112,False
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N2000,2000,50,1.6,0.817386558701776,0.5982270836830139,0.6608090400695801,0.597437858581543,0.6003407835960388,0.5960866212844849,0.5962106585502625,False
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N2000,2000,50,1.7,0.8630999809046044,0.7017204165458679,0.7424339056015015,0.7011165618896484,0.7044523358345032,0.697736382484436,0.697787344455719,False
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N2000,2000,50,1.8,0.9071956763927337,0.8016543388366699,0.8224501609802246,0.8004293441772461,0.8039706945419312,0.7991523742675781,0.7992358207702637,False
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N2000,2000,50,1.9,0.9530573921538225,0.901242196559906,0.9082632660865784,0.8997326493263245,0.9041987061500549,0.8997311592102051,0.8997563719749451,False
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N2000,2000,50,2.0,0.9970332905759606,0.9922963976860046,0.9940721988677979,0.9898356795310974,0.995043158531189,0.9905328750610352,0.9905533194541931,False
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N2000,2000,50,2.1,0.9999997093927896,0.9998776316642761,0.9999994039535522,0.9974486231803894,1.002754807472229,0.9999035596847534,0.9999784231185913,False
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N2000,2000,50,2.3,0.9999986313247808,0.9999304413795471,0.9999972581863403,0.9975658059120178,1.0027425289154053,1.000141978263855,0.9999571442604065,False
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N2000,2000,50,2.5,1.0,0.9999748468399048,1.0,0.9975932836532593,1.0028011798858643,1.000194787979126,1.0000718832015991,False
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N5000,5000,50,0.0,0.0,0.0,0.0,5.605193857299268e-45,5.605193857299268e-45,0.0,0.0,False
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N5000,5000,50,0.3,0.5554557919754343,0.05286959558725357,0.09667950868606567,0.007708746008574963,0.007288212887942791,0.02655932493507862,0.02655932493507862,False
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N5000,5000,50,0.6,0.6304344255872618,0.18214887380599976,0.28081953525543213,0.01656045950949192,0.01711825467646122,0.13895365595817566,0.13895365595817566,False
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N5000,5000,50,0.75,0.6272947833739444,0.22406211495399475,0.32054102420806885,0.034867532551288605,0.03485789895057678,0.1939626932144165,0.1939626932144165,False
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N5000,5000,50,0.85,0.627092102456363,0.24921487271785736,0.34049224853515625,0.05408874899148941,0.05326471105217934,0.23043781518936157,0.23043781518936157,False
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N5000,5000,50,0.9,0.6247959276694587,0.2600707411766052,0.34687817096710205,0.06751589477062225,0.06628306955099106,0.24874728918075562,0.24874727427959442,False
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N5000,5000,50,0.95,0.6269557638275747,0.2719467282295227,0.35574793815612793,0.09855303168296814,0.09746108204126358,0.2670673727989197,0.2670673429965973,False
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N5000,5000,50,1.0,0.6318648779645811,0.2859688401222229,0.36710983514785767,0.12196766585111618,0.12049756199121475,0.2857101261615753,0.2857101559638977,False
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N5000,5000,50,1.05,0.6302961047161425,0.29738232493400574,0.3721565008163452,0.12889045476913452,0.12870950996875763,0.3047946095466614,0.3047946095466614,False
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N5000,5000,50,1.1,0.6333090528094936,0.31003281474113464,0.3804120421409607,0.15224474668502808,0.15113325417041779,0.3243991732597351,0.3243991732597351,False
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N5000,5000,50,1.15,0.6426331793397535,0.32609641551971436,0.3946996331214905,0.1931002289056778,0.19272568821907043,0.344675749540329,0.344675749540329,False
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N5000,5000,50,1.2,0.6530732367575492,0.343563437461853,0.41037529706954956,0.22874049842357635,0.22773727774620056,0.36451318860054016,0.36451348662376404,False
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N5000,5000,50,1.25,0.6676230875871159,0.3633196949958801,0.4304870367050171,0.27647459506988525,0.27570733428001404,0.38554418087005615,0.38554468750953674,False
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N5000,5000,50,1.3,0.6812277557631763,0.3840658366680145,0.4502784013748169,0.31098711490631104,0.31110045313835144,0.4066559970378876,0.4066532254219055,False
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N5000,5000,50,1.4,0.7250987188556678,0.43695101141929626,0.5107644200325012,0.40583351254463196,0.4062924385070801,0.45104390382766724,0.4511871933937073,False
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N5000,5000,50,1.5,0.7693062054866046,0.5013341307640076,0.5779938697814941,0.49379321932792664,0.49419087171554565,0.5054008960723877,0.5055113434791565,False
20260430_030643_n_grid_c_completion_bgs_N2000_M50_size6-a24_S1_steps60000_0c517d,N5000,5000,50,1.6,0.815493926814872,0.5974265336990356,0.6581580638885498,0.5959022641181946,0.5958223938941956,0.5955617427825928,0.5955241322517395,False
